time,scenario,phase,info,cas_shrinkTF,cas_sqzCount,h4_stage,h4_diffBBW,h4_mid,h4_bbupdn,trade_event,h4_sqz,h4_fly,h4_shrink
01.13 08:00,B3,PH_1,B3 — H1-SQZ onset,2,1,512,6.73,1,3,,False,True,False
01.13 12:00,E2,PH_3B_INTO,E2 — M15+M30 both SQZ,-1,2,512,-13.52,1,3,,False,True,False
01.13 16:00,B3,PH_3B_INTO,B3 — H1 shrink,3,0,512,-14.88,1,3,,False,True,False
01.13 20:00,E4,PH_3B_INTO,E4 — HTF compressing,-1,1,512,-40.83,1,0,,False,True,False
01.14 04:00,A2,PH_3B_INTO,A2 — SQZ without LTF shrink,-1,1,512,-19.17,1,3,,False,True,False
01.14 08:00,E4,PH_3B_INTO,E4 — HTF compressing,1,0,512,-24.41,1,3,,False,True,False
01.14 12:00,E4,PH_3B_INTO,E4 — HTF compressing,2,1,512,-32.96,1,3,,False,True,False
01.14 16:00,E4,PH_3B_INTO,E4 — HTF compressing,2,1,512,-42.07,1,0,,False,True,False
01.14 20:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-65.6,1,2,,False,False,True
01.15 04:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-92.86,1,2,,False,False,True
01.15 08:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-24.99,5,2,,False,False,True
01.15 12:00,E4,PH_3B_INTO,E4 — HTF compressing,4,1,513,-13.21,5,2,,False,False,True
01.15 16:00,G2,PH_4,G2 — H2 opposite D1,-1,0,423,-2.43,3,2,,True,False,False
01.15 20:00,G2,PH_4,G2 — H2 opposite D1,3,1,423,0.55,3,0,,True,False,False
01.16 04:00,G2,PH_4,G2 — H2 opposite D1,-1,2,423,0.55,3,4,,True,False,False
01.16 08:00,G2,PH_4,G2 — H2 opposite D1,2,0,423,-3.58,3,0,,True,False,False
01.16 12:00,G2,PH_4,G2 — H2 opposite D1,3,2,423,-4.79,3,2,,True,False,False
01.16 16:00,G2,PH_4,G2 — H2 opposite D1,-1,1,423,-8.8,3,2,,True,False,False
01.16 20:00,G2,PH_4,G2 — H2 opposite D1,-1,0,423,9.91,3,1,,True,False,False
01.19 04:00,F1,PH_2,F1 — LTF expansion,-1,0,511,17.89,1,1,,False,True,False
01.19 08:00,A2,PH_1,A2 — SQZ without LTF shrink,-1,1,511,28.87,1,1,,False,True,False
01.19 08:45,B2,PH_1,B2 early — M30 shrink,2,0,511,28.87,1,1,OPEN SELL,False,True,False
01.19 12:00,B2,PH_1,B2 — M30 shrink + 1 SQZ,1,1,511,21.63,1,1,,False,True,False
01.19 16:00,B3,PH_1,B3 — H1 shrink + 1 SQZ,3,1,511,16.49,5,1,,False,True,False
01.19 20:00,B3,PH_1,B3 — H1 shrink + 1 SQZ,3,1,511,20.75,1,1,,False,True,False
01.20 01:15,B3,PH_1,B3 — H1-SQZ onset,1,1,511,15.28,1,1,CLOSE BUY P&L:-1.6099999999999999,False,True,False
01.20 04:00,B3,PH_1,B3 — H1-SQZ onset,-1,1,511,12.25,1,1,,False,True,False
01.20 08:00,A1,PH_1,A1 — H4+D1 fly aligned,-1,0,511,37.2,1,1,,False,True,False
01.20 12:00,A1,PH_1,A1 — H4+D1 fly aligned,-1,0,511,37.55,1,1,,False,True,False
01.20 16:00,B2,PH_1,B2 — M30 shrink + 1 SQZ,2,1,511,32.35,1,1,,False,True,False
01.20 16:15,A1,PH_1,A1 — H4+D1 fly aligned,2,0,511,32.35,1,1,OPEN BUY,False,True,False
01.20 20:00,A1,PH_1,A1 — H4+D1 fly aligned,-1,0,511,38.46,1,1,,False,True,False
01.21 04:00,A1,PH_1,A1 — H4+D1 fly aligned,-1,0,511,76.53,1,1,,False,True,False
