datetime,category,BBTFImpact-Sideway_val/ATRSL1buf-Trend/ORDERINFO-BUY_PROFIT/TF-diffMid_Trend/TRADEINFO0-Gate/TRADEINFO1-Gate/TRADEINFO2-Gate/NEW_ORDER_OPEN-TradeAct/TRADEINFO3-Gate/TRADEINFO4-Gate/NEW_ORDER_CLOSE-TradeAct/TRADEINFO5-Gate,BBTFImpact-HTF_Drive_LTF_Sideway/ATRSL1buf-LV/ORDERINFO-BUY_LOTS/TF-BBUpDn/TRADEINFO0-TradeAct/TRADEINFO1-M30dn+M15up|act/TRADEINFO2-|act/NEW_ORDER_OPEN-OPEN_TICKET/TRADEINFO3-M5/TRADEINFO4-M5/NEW_ORDER_CLOSE-OPEN_TICKET/TRADEINFO5-M5,BBTFImpact-LTF_Drive_HTF_Fly/ATRSL1buf-Upper/ORDERINFO-BUY_TICKET_NUM/TF-trend/TRADEINFO0-Trade_act/TRADEINFO1-atrsl/TRADEINFO2-atrsl/NEW_ORDER_OPEN-OPEN_TYPE/TRADEINFO3-atrsl/TRADEINFO4-atrsl/NEW_ORDER_CLOSE-OPEN_Type/TRADEINFO5-atrsl,BBTFImpact-midline_Cluster/ATRSL1buf-Lower/ORDERINFO-BUYS/TF-diffMid/TRADEINFO0-pen/NEW_ORDER_OPEN-OPEN_LOTS/NEW_ORDER_CLOSE-OPEN_LOTS,BBTFImpact-line_seq_touch/ATRSL1buf-SLMid/ORDERINFO-SELL_PROFIT/TF-diffBBW/NEW_ORDER_OPEN-DEAL_PRICE/NEW_ORDER_CLOSE-OPEN_PRICE,BBTFImpact-line_seq_cross/ATRSL1buf-Val/ORDERINFO-SELL_LOTS/TF-WLV/NEW_ORDER_OPEN-FREEMARGIN/NEW_ORDER_CLOSE-OPEN_TIME,BBTFImpact-untouch_val/ORDERINFO-SELL_TICKET_NUM/TF-MidLV/NEW_ORDER_OPEN-MARGINREQUIRED/NEW_ORDER_CLOSE-CLOSED_TICKET,ORDERINFO-SELLS/TF-UppLV/NEW_ORDER_CLOSE-CLOSED_TYPE,ORDERINFO-TOTALORDERS/TF-LowLV/NEW_ORDER_CLOSE-CLOSED_LOT,TF-close/NEW_ORDER_CLOSE-CLOSED_PRICE,TF-high/NEW_ORDER_CLOSE-PROFIT,TF-low/NEW_ORDER_CLOSE-SWAP,NEW_ORDER_CLOSE-COMMISION,NEW_ORDER_CLOSE-FEE,NEW_ORDER_CLOSE-TOTAL_PROFIT,NEW_ORDER_CLOSE-TOTAL_SWAP,NEW_ORDER_CLOSE-LAST_PROFIT
~,BBTFImpact,{},{M5=1|M30=1},{M15=1|M30=1|H1=1|H4=1},{},{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-0|W1=0-0},{M5=0-40|M15=0-30|M30=0-30|H1=0-40|H4=0-20|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4356.63,4370.69,4356.63,4363.66,3.52,,,,,,,,,,,
~,ORDERINFO,15.96,0.01,2,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.02 05:15,M15,1.0,3.0,0.0,2.94,-9.26,1.23,4345.78,4372.52,4319.03,4369.13,4369.13,4369.13,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M5=1|M30=1},{M15=1|M30=1|H1=1|H4=1},{},{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-0|W1=0-0},{M5=0-40|M15=0-30|M30=40-30|H1=0-40|H4=0-20|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-29|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4362.21,4370.69,4362.21,4369.3,3.54,,,,,,,,,,,
~,ORDERINFO,22.21,0.01,2,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.02 05:30,M15,1.0,3.0,0.0,2.81,-12.51,1.1,4348.55,4372.45,4324.64,4369.19,4369.19,4369.19,,,,,
~,M30,1.0,1.0,0.0,2.2800000000000002,14.78,1.71,4334.98,4372.02,4297.93,,,,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M5=1},{M15=1|M30=1|H1=1|H4=1},{},{M5=0-9|M15=0-9|M30=9-9|H1=0-9|H4=0-0|D1=0-0|W1=0-0},{M5=0-30|M15=0-30|M30=30-40|H1=0-40|H4=0-20|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4362.31,4370.69,4362.31,4369.11,3.8,,,,,,,,,,,
~,ORDERINFO,22.27,0.01,2,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.02 05:45,M15,1.0,3.0,0.0,2.88,-11.57,1.0,4351.53,4373.34,4329.73,4373.86,4373.86,4373.86,,,,,
~,TRADEINFO0,G7-NEUTRAL,0,0,,,,,,,,,,,,,,
~,BBTFImpact,{},{M5=1},{M15=1|M30=1|H1=1|H4=1},{},{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-0|W1=0-0},{M5=0-30|M15=40-30|M30=40-30|H1=0-40|H4=30-20|D1=0-30|W1=0-30},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=28-0|D1=0-0|W1=0-0},,,,,,,,,,
~,ATRSL1buf,2.0,4366.71,4378.84,4366.71,4373.9,3.6,,,,,,,,,,,
~,ORDERINFO,26.94,0.01,2,1,0.0,0.0,0,0,1,,,,,,,,
2026.01.02 06:00,M15,1.0,3.0,0.0,2.25,-0.26,1.0,4353.79,4375.56,4332.02,4375.05,4375.05,4375.05,,,,,
~,M30,1.0,1.0,0.0,2.59,15.49,1.8900000000000001,4337.71,4378.65,4296.76,,,,,,,,
~,H1,1.0,0.0,0.0,2.29,25.91,1.73,4332.05,4369.58,4294.52,,,,,,,,
