datetime,category,TF-diffMid_Trend/BBTFImpact-HTF_Drive_LTF_Sideway/ATRSL1buf-Trend/ORDERINFO-BUY_PROFIT/NEW_ORDER_OPEN-TradeAct/NEW_ORDER_CLOSE-TradeAct,TF-BBUpDn/BBTFImpact-LTF_Drive_HTF_Fly/ATRSL1buf-LV/ORDERINFO-BUY_LOTS/NEW_ORDER_OPEN-OPEN_TICKET/NEW_ORDER_CLOSE-OPEN_TICKET,TF-trend/BBTFImpact-midline_Cluster/ATRSL1buf-Upper/ORDERINFO-BUY_TICKET_NUM/NEW_ORDER_OPEN-OPEN_TYPE/NEW_ORDER_CLOSE-OPEN_Type,TF-diffMid/BBTFImpact-line_seq_touch/ATRSL1buf-Lower/ORDERINFO-BUYS/NEW_ORDER_OPEN-OPEN_LOTS/NEW_ORDER_CLOSE-OPEN_LOTS,TF-diffBBW/BBTFImpact-line_seq_cross/ATRSL1buf-SLMid/ORDERINFO-SELL_PROFIT/NEW_ORDER_OPEN-DEAL_PRICE/NEW_ORDER_CLOSE-OPEN_PRICE,TF-WLV/BBTFImpact-untouch_val/ATRSL1buf-Val/ORDERINFO-SELL_LOTS/NEW_ORDER_OPEN-FREEMARGIN/NEW_ORDER_CLOSE-OPEN_TIME,TF-MidLV/ORDERINFO-SELL_TICKET_NUM/NEW_ORDER_OPEN-MARGINREQUIRED/NEW_ORDER_CLOSE-CLOSED_TICKET,TF-UppLV/ORDERINFO-SELLS/NEW_ORDER_CLOSE-CLOSED_TYPE,TF-LowLV/ORDERINFO-TOTALORDERS/NEW_ORDER_CLOSE-CLOSED_LOT,TF-close/NEW_ORDER_CLOSE-CLOSED_PRICE,TF-high/NEW_ORDER_CLOSE-PROFIT,TF-low/NEW_ORDER_CLOSE-SWAP,NEW_ORDER_CLOSE-COMMISION,NEW_ORDER_CLOSE-FEE,NEW_ORDER_CLOSE-TOTAL_PROFIT,NEW_ORDER_CLOSE-TOTAL_SWAP,NEW_ORDER_CLOSE-LAST_PROFIT
~,BBTFImpact,,{M15=1|M30=1},"[11.96, 5.38, 1.27]",{M5=0-9|M15=0-9|M30=9-9|H1=0-19|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},{M5=0-30|M15=0-40|M30=0-30|H1=40-30|H4=0-20|D1=0-30|W1=0-30|MN1=0-40},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},,,,,,,,,,,
~,ATRSL1buf,2.0,4340.78,4359.26,4340.78,4350.02,4.62,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 02:15,M5,1.0,3.0,0.0,1.71,-5.64,1.09,4336.13,4359.69,4312.56,4348.09,4348.09,4348.09,,,,,
~,M15,1.0,1.0,0.0,1.02,11.27,1.21,4323.48,4349.69,4297.27,4348.09,4348.09,4348.09,,,,,
~,BBTFImpact,,{M15=1|M30=1},"[12.65, 4.36, 0.24]",{M5=0-9|M15=9-9|M30=0-9|H1=9-19|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},{M5=0-30|M15=30-40|M30=0-30|H1=30-40|H4=0-20|D1=0-30|W1=0-30|MN1=0-40},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},,,,,,,,,,,
~,ATRSL1buf,2.0,4340.78,4357.5,4340.78,4348.38,4.5600000000000005,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 02:20,M5,1.0,0.0,0.0,1.47,-8.17,1.0,4337.54,4359.24,4315.85,4344.77,4344.77,4344.77,,,,,
~,BBTFImpact,,{M15=1|M30=1},"[14.06, 4.36, 0.24]",{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},{M5=0-30|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30|MN1=0-40},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},,,,,,,,,,,
~,ATRSL1buf,2.0,4340.78,4353.71,4340.78,4344.73,4.49,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 02:25,M5,1.0,2.0,0.0,1.43,-11.64,0.89,4339.0,4358.2,4319.79,4343.55,4343.55,4343.55,,,,,
~,BBTFImpact,,{M30=1},"[15.52, 4.36, 0.24]",{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},{M5=0-30|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30|MN1=0-40},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},,,,,,,,,,,
~,ATRSL1buf,2.0,4340.78,4352.13,4340.78,4343.38,4.38,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 02:30,M5,1.0,2.0,0.0,1.58,-13.67,0.75,4340.63,4356.93,4324.32,4347.29,4347.29,4347.29,,,,,
~,M15,1.0,1.0,0.0,1.17,9.39,1.28,4324.51,4352.28,4296.74,4347.29,4347.29,4347.29,,,,,
~,M30,1.0,1.0,0.0,0.5,5.67,1.11,4328.26,4352.18,4304.35,,,,,,,,
~,BBTFImpact,,{M30=1|H1=1},"[16.11, 3.75, 0.79]",{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},{M5=0-30|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30|MN1=0-40},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},,,,,,,,,,,
~,ATRSL1buf,2.0,4340.78,4352.13,4340.78,4346.85,4.26,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 02:35,M5,1.0,2.0,0.0,1.53,-15.87,0.6,4342.2,4355.14,4329.26,4348.49,4348.49,4348.49,,,,,
~,BBTFImpact,,{M30=1|H1=1},"[17.69, 3.75, 0.79]",{M5=0-9|M15=0-9|M30=0-9|H1=0-9|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},{M5=0-30|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30|MN1=0-40},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},,,,,,,,,,,
~,ATRSL1buf,2.0,4340.78,4352.13,4340.78,4348.54,4.11,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 02:40,M5,1.0,2.0,0.0,0.97,-5.6899999999999995,0.54,4343.21,4355.01,4331.42,4348.53,4348.53,4348.53,,,,,
~,BBTFImpact,,{M30=1|H1=1},"[18.7, 3.75, 0.79]",{M5=0-9|M15=0-9|M30=0-9|H1=19-9|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},{M5=0-30|M15=0-30|M30=0-30|H1=0-30|H4=0-20|D1=0-30|W1=0-30|MN1=0-40},{M5=0-0|M15=0-0|M30=0-0|H1=19-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},,,,,,,,,,,
~,ATRSL1buf,2.0,4340.78,4352.13,4340.78,4348.8,4.23,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 02:45,M5,1.0,2.0,0.0,0.96,-5.5,0.49,4344.18,4354.8,4333.56,4349.7,4349.7,4349.7,,,,,
~,M15,1.0,1.0,0.0,1.54,8.88,1.38,4326.13,4356.08,4296.18,4349.7,4349.7,4349.7,,,,,
~,BBTFImpact,,{M30=1|H1=1},"[18.05, 2.14, 2.41]",{M5=0-9|M15=0-9|M30=0-9|H1=0-19|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},{M5=0-30|M15=0-30|M30=0-30|H1=40-30|H4=0-20|D1=0-30|W1=0-30|MN1=0-40},{M5=0-0|M15=0-0|M30=0-0|H1=0-0|H4=0-0|D1=0-0|W1=0-0|MN1=0-0},,,,,,,,,,,
~,ATRSL1buf,2.0,4341.37,4352.13,4341.37,4349.92,4.27,,,,,,,,,,,
~,ORDERINFO,0.0,0.0,0,0,0.0,0.0,0,0,0,,,,,,,,
2026.01.02 02:50,M5,1.0,3.0,0.0,0.97,-4.27,0.46,4345.24,4355.13,4335.34,4351.92,4351.92,4351.92,,,,,
